size,mix,trial,throughput
100 KB,0.9,1,6358.07
100 KB,0.9,2,6250.65
100 KB,0.9,3,6328.38
100 KB,0.5,1,1274.73
100 KB,0.5,2,1279.08
100 KB,0.5,3,1280.72
100 KB,0.1,1,714.85
100 KB,0.1,2,719.067
100 KB,0.1,3,719.717
1 MB,0.9,1,1148.08
1 MB,0.9,2,1171.1
1 MB,0.9,3,1161.38
1 MB,0.5,1,236.05
1 MB,0.5,2,239.117
1 MB,0.5,3,233.117
1 MB,0.1,1,128.633
1 MB,0.1,2,129.183
1 MB,0.1,3,128.6
10 MB,0.9,1,130.383
10 MB,0.9,2,130.883
10 MB,0.9,3,124.417
10 MB,0.5,1,0
10 MB,0.5,2,0
10 MB,0.5,3,0
10 MB,0.1,1,0
10 MB,0.1,2,0
10 MB,0.1,3,0
