records,memory_limit,trial,throughput
10000,100 MB,1,294.55
10000,100 MB,2,290.217
10000,100 MB,3,268.35
10000,200 MB,1,273.85
10000,200 MB,2,290.5
10000,200 MB,3,255.033
10000,500 MB,1,291.383
10000,500 MB,2,293.217
10000,500 MB,3,295.967
10000,1 GB,1,254.133
10000,1 GB,2,294.333
10000,1 GB,3,295.433
10000,2 GB,1,287.067
10000,2 GB,2,254.6
10000,2 GB,3,292.7
10000,5 GB,1,287.533
10000,5 GB,2,290.467
10000,5 GB,3,262.317
100000,100 MB,1,85.6667
100000,100 MB,2,84.1833
100000,100 MB,3,86.8833
100000,200 MB,1,83.6
100000,200 MB,2,82.8667
100000,200 MB,3,83.55
100000,500 MB,1,83.8833
100000,500 MB,2,82.5167
100000,500 MB,3,70.4667
100000,1 GB,1,81.8333
100000,1 GB,2,81.05
100000,1 GB,3,81.6
100000,2 GB,1,79.6333
100000,2 GB,2,79.3
100000,2 GB,3,80.8667
100000,5 GB,1,79.5333
100000,5 GB,2,67.85
100000,5 GB,3,78.3167
1000000,100 MB,1,8.66667
1000000,100 MB,2,8
1000000,100 MB,3,8.91667
1000000,200 MB,1,10.0333
1000000,200 MB,2,10.2833
1000000,200 MB,3,10.6833
1000000,500 MB,1,10.65
1000000,500 MB,2,10.2167
1000000,500 MB,3,11.2333
1000000,1 GB,1,10.95
1000000,1 GB,2,10.5833
1000000,1 GB,3,10.55
1000000,2 GB,1,10.3667
1000000,2 GB,2,9.71667
1000000,2 GB,3,11.3667
1000000,5 GB,1,10.4833
1000000,5 GB,2,11.1
1000000,5 GB,3,10.6
